ראשי תיבות,פירוש
השאה"ט,הטומאה אבות שאר הלכות
השא"נ,ניכר; שאינו היזק
השאנלש"ה,לאו ניכר שאינו היזק; היזק; שמיה
השאנש"ה,היזק; שמיה ניכר שאינו היזק
הש"ב,בנביאים; שאול הגם
השבא"ל,לחברו; אדם בין שלום הבאת
השב"ה,הוא; ברוך השם
הש"ג,גבורים; השלטי גבול; השגת
השג"א,אלהית; השגחה השאגתאריה
השג"ב,כללית; השגחה
השג"מ,פרטית; השגחה
הש"ד,דורא; שערי הגהות
הש"ה,היתה; שעה הוראת
השהה"ש,שהתיר; הפה הוא שאמר הפה
השוה"א,והארץ; השמים
השו"ק,וקיים; שריר הכל
השו"ט,וטרפות; שחיטה הלכות
השו"י,ויובלין; שמיטה הלכות
הש"י,השם ירחם; השם יד; השם יתברך; השם ישמרהו
השי"א,אמן; ישמרהו השם
השי"ד,דמו; ינקום השם
השיד"ע,עבדיו; דם ינקום השם
השי"ו,ויחיהו; ישמרהו השם
השי"ל,לשלום; יפקדך השם
השי"נ,ינחמהו; השם
השי"ר,ירחם; השם
השי"ש,ישמרנו; השם
השי"ת,יתברך; השם
השיתב"ש,שמו; יתברך השם
השית"ש,שמו; יתברך השם
הש"ל,לפניך; שלך הלוי
השמ"א,אזן; השמעת
השמ"ש,שלעבי; מזרחי שלום הרב
הש"פ,פקח; של הגדה
הש"צ,צבור; השליח לצדק; שלך הן
הש"ת,תמיד; שלומו הדורש
השתל"א,איש; להיות השתדל
ה"ת,היכי תמים; הולך תיבה; הא תרגומו; הכי תרגמו; הכא תמצא; -תרומות, -תענית, תמורה, הלכות: תשועה; הנותן -תשובה
הת"ב,תשעה הלכות במזל, תלוי הכל; בישראל, תורה המרביץ באב
התב"א,בארץ; התלויות ברבים, תורה המרביץ
התו',התורני; התורה; התוקפות
התור"ט,והמצוה; התורה
התוה"ם,התחיה והפילוסופיא; התורה והפדות
התוד"ק,הקדושה; התורה
התב"ם,במזל; תלוי הכל
התח',התחיל; התחיה; התחייב; התחתון; התחלה
התט"ט,מצות; טעמי תמים הולך
הת"ת,תנאי; כהני תנאי הכי; מורה; תלמוד הלכות
התלב"א,בארץ; התלויות
הת"נ,כדרים; התרת
הת"ם,קפ"ק; התראת
הת"פ,תמים פעלו; הצור תפלה, הלכות
וב״ר,וכן רב; וכן ראובן
ובר״ח,ובראש חודש; ובראשי חדשים
וב״ש,ובלשון שמו
ובשא״ט,ובשאר מינו; ובשאינו מקומות
ובשלכ״ט,שלא ובין במינו
ובש״ט,ובשאר מקומות
ו״ג,ו׳ גברי
ונו׳,וגומר
וגב״ש,בשמי וגיורא שמיא
וגחז״ל,וגם זכור לטוב
וד״א,ד׳ ועד ארצות
ודא״י,וד׳ אכלו ירק
ודב״ל,ודי למבין
ודו״ק,ודוחק קצת; ודרוש וחקור קצת
וד״ל,ודי למבין; ודי לחכימא
ודל״ב,ודי לחכימא ברמיזא
ודכל״ט,ודי למבין
ודלט״י,ודלא יקיף
ודל״ת,לא ודחי תעשה
ודמ״ש,מה ודע שתשוב
וד״ק,ודין קיומיהון
ודרז״ל,ודרשו רבותינו זכרונם לברכה
ו״ה,ווי העמודים; הדת
וה״א,וה׳ אותיות
והא״ם,
ואע״ם,ואף על פי
ואעפ״ב,ואף על פי כן
ואפ״ר,ואין פגע רע
ואצ״ל,ואין צריך לומר
ואצל״ז,ואין צריך לומר זו
וא״ק,ואתה קרא!;ואמר קדוש
וא״ק ית״י,ואתה קדוש יושב תהלות ישראל
וא״ר,ואינו רוצה
ואר״פ,ואחד ראש פשוט
וא״ש,ואלה שמות;ואתה שומע;ואינו שפיר
ואשא״ת,ואתי שנית ואם
ואשאת״ם,ואתי שנית ואם משוגתי
ואש״ר,ואלה שמות רבה
וא״ת,ואונקלוס תרגום;ואל תעשה;ואני תפלתי
ואת״ל,ואם תמצא לומר
ואתליע״ר,ואני תפלתי לך עת רצון
ואת״ע,ואל תעשה עדיף
ואתצ״ל,ואם תמצא לומר;ואל תצטרך לומר
וב״ב,ובני ביתו;ובני בנו;ובן בנו
ובב״י,ו׳ בניו
ובני״ל,ובגד ללבוש
וב״ה,ובית המקדש;ובשעה שיש;ובית הארון
ובה״א,ובית הלל אומרים
ובה״ו,היא בת ואם
ובה״ם,ובית המדרש;ובית מרובה;ובהפסק המזון
ובערת,ובערת הרע מקרבך
ובהפ״ט,ובהפסק מרובה
ובזה״ו,ובזמן הזה
ובזמד,״ל,ובזה הלשון
ובזמד,״ז,ובזמן הזה
וב״ח,ובורא חושך;ובן חלולה
ובחוד.״מ,ובחול המועד
ובט״ח,ובטובו חיינו
וכידו״ש,ובין השבת והשמשות
ובית,ובית השמיעה
וכיוה״ש,וביום השבת
וביו״ט,וביום טוב
ובי״ם,ובל ימלא
וביין,וביין נשך
וכיי״ג,וביין נשך
וכ״כ,וכמה כרעים;וב׳ כך;ובין כה;וברכת כהנים
וברכת,וברכת כהנים
ובכ״א,ובכל אחד
ובב״ז,ובכל זה
ובכ״ט,ובכל מקום
ובפ׳ש,ובכל שעה
ובכת״ב,ובכן כבוד
ובכת״פ,ובכן פחדן
ובל״א,ובלשון אשכנז
ובל״ג,ובא לציון גואל
ובלעית,ובין לא עשה תשובה
ובל״צ,ובא לציון
ובלצ׳׳ג,ובא לציון גואל
ובלצגבב״א,ובא לציון גואל במהרה בימינו אמן
ובלשאל״ל,ובלבד שיכוין לבו את [לשמים]
וב״מ,ובתי מדרשות;ובתי מבואר
ובמ״ד,ומן דבר ובמ״ד דין
ובמולאי,ובמולאי טוב;יום טוב
וכמיו״ט,ובמולאי טוב;יום טוב
ובמח״כ,ובמחילת כבודו
וכמע״ט,ובמעשים טובים
ובמ״ש,ובמולאי שבת
וב״ג,ובפני נחתם
וכנ״א,ובני אדם;ובני אחרינא;ובנוקחא
ובנא״ד,ובזה הבאור. אל נבא
ובנ״י,ובני יונה;ובני יאמר;ובנחת ישראל
ובנ״ר,ובני ראובן
ובעד״א,ובעלמא דאתי
ובעה״ט,ובערת הרע מקרבך
ובעי״ט,ובערב יום טוב
ובע״ב,ובעל כרחו;ובעל כרחך
ובע״נ,ובעשרה נפשות
ובע״ש,ובערב שבת
ובפ״ט,ובפישול מודעות
ובפ״ג,ובפני נחתם
,וכל כתוב די; תוקף דבר וכל נאמנות. (Wait, OCR says "וכדת"נ וכל כתו; תוקף דבר וכל נאמנות". The "כתו;" is "כתוב די").

    *   Double check "וכאל"ש":
        וכאל״ש,וכל אשר לן שבות. (OCR says "שכוס", which is "שבות").

    *   Double check "וכאמ"ל":
        וכאמ״ל,ואין כאן מקום להאריך.

    *   Double check "וכב"ב":
        וכב״ב,וכל בני ביתו.

    *   Double check "וכנ"ה":
        וכנ״ה,וכן נמלאה חמלה.

    *   Double check "וכנת"ש":
        וכנת״ש,וכל נתיבותיה שלום.

    *   Double check "וכש"ק":
        וכש״ק,וכשנים קדמוניות.

    *   Double check "וכת"א":
        וכת״א,וכן תרגום אונקלוס.

    *   Double check "וכי אה"ג":
        וכי אה״ג,וכי תימא אין הכי נמי.

    *   Double check "וית"ל":
        וית״ל,ויתן לך.
ז"נ): "וזה וז"נ נכון".

    (Self-correction on וז"ר): "וזה וז"ר רצון".

    (Self-correction on וז"ם): "וזהו וז"ם אחד".

    (Self-correction on וזס"ה): "וזה וזס"ה חולקין".

    (Self-correction on וז"ע): "וזה וז"ע ענין".

    (Self-correction on וזש"א): "וזה שאמר".

    (Self-correction on וזשה"ב): "וזהו וזש"ה הכתוב".

    (Self-correction on וזש"ב): "וזהו וזש"ב שכתב".

    (Self-correction on ו"ח): "וי ו"ח חסידים".

    (Self-correction on ו"ט): "ו' טפחים".

    (Self-correction on וטו"ט): "וטל והן וטו"ט ומטר".

    (Self-correction on וטע"ט): "וטעמא וטע"ט וטעמו".

    (Self-correction on וט"ת): "וטמא וט"ת הפל".

    (Self-correction on וי"א): "וירא ארץ יירש וזרעו; ויש אומרים".

    (Self
וימ״ל,ויהי מל״ב יומא; יי משגב לדן משגב לעתות בצרה
וימת״נ,וימתחו ויראני נפלאות
וי״ג,ויהי כועס; ויהי ויצאה; ויש כיוצא; ויש כוספין
וינ״ל,ויש נוהגין; להתענות; לומר; לקרוס; לחקוע
וי״ם,ויש ספרים
ויי,ויהי יי; יאר עינינו בתורתו
ויעו״ש,ויעוין שם
ויעיל,ויהי עוד לנצח
ויע״ש,ויעמוד על שורו
וי״פ,ויש פוקקין; ויש פוקלין
ויצ״א,וירא צורת אביו
ויצ״ב,ויגבה יי צבאות במשפט
ויקו״ם,ויקהל ופקודי
ויק״מ,ויקהל משה
ויק״פ,ויקהל פקודי
ויק״ר,ויקרא רבה
ויר״ל,ויהי רצון; ויקרא רבה; ויש ראיה לדבר
ויר״ט,ויהי רצון; רצון מלפניך; ויהי רצון מלפני יי
ויר״ש,וירא ש
ו"ל,ויתן לך; ועד לחכמים; ועיין לעיל; ועיין לקמן
ול"א,ולא אמר; ולא אמרינן; ועד לחכמים א'
ולאב"ח,ולא בן חורין אתה
ולאח"מ,ולאחר מיתה
ולאע"י,ולאין אונים עצמה ירבה
ול"ב,ולא בעי; ולא ועד בעינן; לחכמים ב'
ולבד"ע,ולא בדרדקי עצה
ולב"ח,ולבסוף חיברו
ולבט"א,ולא בר אמתא אנא
ולב"י,ולא ידענא בילק'
ולבי"א,ולכת בדרך יי' אלהיך והצנע
ולב"ם,ולא בסוף
ולבסמ"ם,מאי סבר ולבסוף
ול"ג,ולא גריס; ולא גרסינן
ול"ד,ולא דמי; ולא דק; ולאו דוקא; וליה דיין; וליה דכותיה
ולהבחל"ח,ולהבדיל בין חיים לחיים
ולה"ט,ולד הטומאה
ולה"י,ולהשימע ינעם
ולה"י ותעב"ט,ולהשימע ינעם וסבא עליו ברכת טוב
ולז"א
ומבקש״כ,ומבקש שכר
ומ״ד,ומאן דאמר
ומה״ג,ומוריד הגשם
ומה״ד,ומתחיל סדור; ומן הדבור
ומה״ט,ומהא טעמא
ומהי״ב,ומן החיבור
ומה״ת,ומן התורה
ומו״ד,ומוציא דבה
ומדי,ועוזב ומודה ירוחם
ומו״מ,וי מביתא וי מברא
ומחומב״ה,ומחומרי בית הלל
ומ״כ,ומשיב כבוד מנוחתו והיתה כהלכה
ומכ״א,ורמר אתריה; כי ומר אתריה
ומכ״ד,ומן כל דין; ומכל דבר
ומכדא״ל,כדאית ומר ליה
ומכ״ש,ומכל שכן
ומכש״ב,ומכל שכן
ומלי״ב,יפול לבו ומקשה ברעה
ומנ״כ,ומנוחתו כבוד
ומנלח״ע,ומנוחה לחיי עולמים
ומ״ם,ומר שבר
ומע״ב,ומעשה בראשית
ומע״ט,ומעשים טובים
ומפ״ח,ומפני חטאינו
ומצל״ת,ומצות לא
עה״ע,עולם ועד; עיר העמים
עה״ר,עיר הראשונים; עבד הרשעים
ע״ו,על ו׳; עשרים ו׳
ועו״ב,ויהי ערב ויהי בקר
ועוה״ר,עוקר הרים; עיר הראשונים
ועוי״ל,ויש עוד לומר
ועו״מ,ועוד מקומות
ועומה״ם,ועומד מהר סיני
ועו״ק,ועוד קאמר; ועוד קשה
וע״ז,ועל זה
ועז״א,זה ועל אמר
ועז״נ,זה ועל נאמר
וע״ח,ועל חטא; ועל חטאים; ועל חצרות; ועל חטאים שאנו חייבים עליהם על שח״ע
ועח״מ,וערובי חמתי; ועדים חסומים מעה
ועח״ל,ועוד חזון למועד
וע״ט,ועשה טוב
וע״י,ועל ידי
ועי״ן,ועל ידי זה
ועי״ל,ויש עוד לומר
וע״כ,ועל כן; ועל כולם; ועל כרחך
ועכ״ז,ועל זה כל
ועכ״י,ועל כל ישראל
ועכי״א,ועל כל ישראל אמן
ועכע״סי,
ורק״ל,ורפואה קרובה לבא
ורק״נ,ורקיקי נזיר
ו״ש,ולד שפחה
ושאיב״י,בן ושאינו יומו
ושאיי״ל,יודע ושאינו לשאול
ושא״ת,ושאינו חדיר
וש״ב,ושרץ בידו
ושב״י,בני ושמרו ישראל
ושב״ת,ושונים בתורה
וש״ד,ושפיכת דמים; ושאר דבר
ושחושי״ל,ושלום חיים ושנות לן יושיעו
ושחי״ל,יושיפו חיים ושנות לן יושיפו
וש״ט,ושם טוב
וש״י,ושפחים ויושק
וש״ל,ושברי לוחות
ושלב״ם,ושלא בפניו
ושליש״ב,ושומע לי ישכון בטח
ושם וש״ט,ושם מבואר
ושמ״ו,ושבע מאות ושלשים
ושמנ״כ,ושם מנוחתו כבוד
וש״נ,ושם כשמן
ושנו״ח,ושנות חיים
ושעכ״י,ושלום על כל ישראל
וש״פ,ושאר פשט; ושל פוסקים
ושפ״ד,ושפיכות דמים
וש״ר,ושלום רב
ושר״י,
זא"ח,זאת חנוכה
זאח"ז,זה אחר זה
זא"י,זה ואינו יכול;זה ואינו ידוע;זה ואינו יהודי;זה ואינו ירא
זאצ"ז,זה אצל זה
זאצ"ל,זו אינה צריכה לפנים
זא"ת,זכור ואל תעשה תשובה;זכור ואל תעשה עולה;זכור ואל תעשה אשם
ז"ב,זה בורר;זה ברכות;ז' ברכות;זכרון ברית;זכור בזהב;זהב אדוניו;זמנו במה;זמן בשפל;זרוע בטלה;זרע ברך
זביא,זכור ברית אברהם
זב"ב,ז' בנינים;ז' ברכות
זב"ג,ז' ברכות;ז' גדולה
זב"ד,זמן בית דין
זבד"ו,ז' ימים שראוי בהם לקבוע
זבד"ר,זכור בשבת דאש חודש
זבו"ג,זבולן ונפתלי
זב"ז,זה בזה
זבחו"ד,זבת חלב ודבש
זב"ט,זבחי טוביה
זב"י,זרע ב
זו״ז,זו זה; זולת זה
זוז״ב,זה וזה בודק
זוז״ג,זה וזה גורם
זוה״ח,זהר חדש
זו״כ,זהב וכסף
זו״מ,זוטר ומנחה; זבח ומצורע; זב ודם
זו״נ,זוכה ומושיט; זורק ומקבל; זוכה מיניה; זכריה וממנא; זכייה ומטר
זומפ״ש,זוכה ומקבל פני שכינה
זו״נ וזנקי׳,זכר ונקבה; זמה ונבלה; זעיר ונוקביה
זו״ם,זולל ושובע; זקן ושריש
זו״ע,זימיס וענבים
זו״פ,זקן ופנים
זו״ק,זכות וקנין; זרע וקציר
זו״ש,זכרונות ושמור; זכור ושמור; זקנה ושיבה
